id,prop_type,player_name,player_team,defensive_matchup,sports_book,name,price,points,nba_api_player_id
9ce22ce34e34669f699bbddee679ad09,player_threes,P.J. Tucker,PHI,DAL,draftkings,Under,150,0.5,200782
9ce22ce34e34669f699bbddee679ad09,player_threes,Reggie Bullock,DAL,PHI,draftkings,Over,-140,1.5,203493
9ce22ce34e34669f699bbddee679ad09,player_threes,Reggie Bullock,DAL,PHI,draftkings,Under,110,1.5,203493
9ce22ce34e34669f699bbddee679ad09,player_threes,Tobias Harris,PHI,DAL,draftkings,Over,110,1.5,202699
9ce22ce34e34669f699bbddee679ad09,player_threes,Tobias Harris,PHI,DAL,draftkings,Under,-140,1.5,202699
9ce22ce34e34669f699bbddee679ad09,player_threes,Tyrese Maxey,PHI,DAL,draftkings,Over,-175,1.5,1630178
9ce22ce34e34669f699bbddee679ad09,player_threes,Tyrese Maxey,PHI,DAL,draftkings,Under,140,1.5,1630178
9ce22ce34e34669f699bbddee679ad09,player_threes,Kyrie Irving,DAL,PHI,betmgm,Over,-145,2.5,202681
9ce22ce34e34669f699bbddee679ad09,player_threes,Kyrie Irving,DAL,PHI,betmgm,Under,110,2.5,202681
9ce22ce34e34669f699bbddee679ad09,player_threes,PJ Tucker,,,betmgm,Over,-200,0.5,
9ce22ce34e34669f699bbddee679ad09,player_threes,PJ Tucker,,,betmgm,Under,145,0.5,
9ce22ce34e34669f699bbddee679ad09,player_threes,James Harden,PHI,DAL,betmgm,Over,-145,2.5,201935
9ce22ce34e34669f699bbddee679ad09,player_threes,James Harden,PHI,DAL,betmgm,Under,110,2.5,201935
9ce22ce34e34669f699bbddee679ad09,player_threes,De’Anthony Melton,,,betmgm,Over,-110,1.5,
9ce22ce34e34669f699bbddee679ad09,player_threes,De’Anthony Melton,,,betmgm,Under,-120,1.5,
9ce22ce34e34669f699bbddee679ad09,player_threes,Christian Wood,DAL,PHI,betmgm,Over,120,1.5,1626174
9ce22ce34e34669f699bbddee679ad09,player_threes,Christian Wood,DAL,PHI,betmgm,Under,-160,1.5,1626174
9ce22ce34e34669f699bbddee679ad09,player_threes,Tyrese Maxey,PHI,DAL,betmgm,Over,-185,1.5,1630178
9ce22ce34e34669f699bbddee679ad09,player_threes,Tyrese Maxey,PHI,DAL,betmgm,Under,135,1.5,1630178
9ce22ce34e34669f699bbddee679ad09,player_threes,Reggie Bullock,DAL,PHI,betmgm,Over,-145,1.5,203493
9ce22ce34e34669f699bbddee679ad09,player_threes,Reggie Bullock,DAL,PHI,betmgm,Under,105,1.5,203493
9ce22ce34e34669f699bbddee679ad09,player_threes,Christian Wood,DAL,PHI,williamhill_us,Over,118,1.5,1626174
9ce22ce34e34669f699bbddee679ad09,player_threes,Christian Wood,DAL,PHI,williamhill_us,Under,-163,1.5,1626174
9ce22ce34e34669f699bbddee679ad09,player_threes,P.J. Tucker,PHI,DAL,williamhill_us,Over,-199,0.5,200782
9ce22ce34e34669f699bbddee679ad09,player_threes,P.J. Tucker,PHI,DAL,williamhill_us,Under,143,0.5,200782
9ce22ce34e34669f699bbddee679ad09,player_threes,Kyrie Irving,DAL,PHI,williamhill_us,Over,-151,2.5,202681
9ce22ce34e34669f699bbddee679ad09,player_threes,Kyrie Irving,DAL,PHI,williamhill_us,Under,110,2.5,202681
9ce22ce34e34669f699bbddee679ad09,player_threes,De'Anthony Melton,PHI,DAL,williamhill_us,Over,-111,1.5,1629001
9ce22ce34e34669f699bbddee679ad09,player_threes,De'Anthony Melton,PHI,DAL,williamhill_us,Under,-123,1.5,1629001
9ce22ce34e34669f699bbddee679ad09,player_threes,Joel Embiid,PHI,DAL,williamhill_us,Over,-148,0.5,203954
9ce22ce34e34669f699bbddee679ad09,player_threes,Joel Embiid,PHI,DAL,williamhill_us,Under,108,0.5,203954
9ce22ce34e34669f699bbddee679ad09,player_threes,James Harden,PHI,DAL,williamhill_us,Over,-145,2.5,201935
9ce22ce34e34669f699bbddee679ad09,player_threes,James Harden,PHI,DAL,williamhill_us,Under,106,2.5,201935
9ce22ce34e34669f699bbddee679ad09,player_threes,Reggie Bullock,DAL,PHI,williamhill_us,Over,-142,1.5,203493
9ce22ce34e34669f699bbddee679ad09,player_threes,Reggie Bullock,DAL,PHI,williamhill_us,Under,104,1.5,203493
9ce22ce34e34669f699bbddee679ad09,player_threes,Luka Doncic,DAL,PHI,williamhill_us,Over,-137,2.5,1629029
9ce22ce34e34669f699bbddee679ad09,player_threes,Luka Doncic,DAL,PHI,williamhill_us,Under,100,2.5,1629029
9ce22ce34e34669f699bbddee679ad09,player_threes,Tobias Harris,PHI,DAL,williamhill_us,Over,108,1.5,202699
9ce22ce34e34669f699bbddee679ad09,player_threes,Tobias Harris,PHI,DAL,williamhill_us,Under,-148,1.5,202699
9ce22ce34e34669f699bbddee679ad09,player_threes,Tyrese Maxey,PHI,DAL,williamhill_us,Over,-184,1.5,1630178
9ce22ce34e34669f699bbddee679ad09,player_threes,Tyrese Maxey,PHI,DAL,williamhill_us,Under,133,1.5,1630178
9ce22ce34e34669f699bbddee679ad09,player_threes,Luka Doncic,DAL,PHI,betonlineag,Under,-101,2.5,1629029
9ce22ce34e34669f699bbddee679ad09,player_threes,Luka Doncic,DAL,PHI,betonlineag,Over,-128,2.5,1629029
9ce22ce34e34669f699bbddee679ad09,player_threes,Kyrie Irving,DAL,PHI,betonlineag,Under,113,2.5,202681
9ce22ce34e34669f699bbddee679ad09,player_threes,Kyrie Irving,DAL,PHI,betonlineag,Over,-147,2.5,202681
9ce22ce34e34669f699bbddee679ad09,player_threes,James Harden,PHI,DAL,betonlineag,Under,109,2.5,201935
9ce22ce34e34669f699bbddee679ad09,player_threes,James Harden,PHI,DAL,betonlineag,Over,-141,2.5,201935
9ce22ce34e34669f699bbddee679ad09,player_threes,De'Anthony Melton,PHI,DAL,betonlineag,Under,-120,1.5,1629001
9ce22ce34e34669f699bbddee679ad09,player_threes,De'Anthony Melton,PHI,DAL,betonlineag,Over,-108,1.5,1629001
9ce22ce34e34669f699bbddee679ad09,player_threes,P.J. Tucker,PHI,DAL,betonlineag,Under,154,0.5,200782
9ce22ce34e34669f699bbddee679ad09,player_threes,P.J. Tucker,PHI,DAL,betonlineag,Over,-204,0.5,200782
9ce22ce34e34669f699bbddee679ad09,player_threes,Tobias Harris,PHI,DAL,betonlineag,Under,-143,1.5,202699
9ce22ce34e34669f699bbddee679ad09,player_threes,Tobias Harris,PHI,DAL,betonlineag,Over,110,1.5,202699
9ce22ce34e34669f699bbddee679ad09,player_threes,Christian Wood,DAL,PHI,betonlineag,Under,-159,1.5,1626174
9ce22ce34e34669f699bbddee679ad09,player_threes,Christian Wood,DAL,PHI,betonlineag,Over,122,1.5,1626174
9ce22ce34e34669f699bbddee679ad09,player_threes,Joel Embiid,PHI,DAL,betonlineag,Under,112,0.5,203954
9ce22ce34e34669f699bbddee679ad09,player_threes,Joel Embiid,PHI,DAL,betonlineag,Over,-145,0.5,203954
9ce22ce34e34669f699bbddee679ad09,player_threes,Tyrese Maxey,PHI,DAL,betonlineag,Under,145,1.5,1630178
9ce22ce34e34669f699bbddee679ad09,player_threes,Tyrese Maxey,PHI,DAL,betonlineag,Over,-192,1.5,1630178
9ce22ce34e34669f699bbddee679ad09,player_threes,Reggie Bullock,DAL,PHI,betonlineag,Under,110,1.5,203493
9ce22ce34e34669f699bbddee679ad09,player_threes,Reggie Bullock,DAL,PHI,betonlineag,Over,-143,1.5,203493
9ce22ce34e34669f699bbddee679ad09,player_threes,Joel Embiid,PHI,DAL,bovada,Over,-150,0.5,203954
9ce22ce34e34669f699bbddee679ad09,player_threes,Joel Embiid,PHI,DAL,bovada,Under,115,0.5,203954
9ce22ce34e34669f699bbddee679ad09,player_threes,Reggie Bullock,DAL,PHI,bovada,Over,-145,1.5,203493
9ce22ce34e34669f699bbddee679ad09,player_threes,Reggie Bullock,DAL,PHI,bovada,Under,110,1.5,203493
9ce22ce34e34669f699bbddee679ad09,player_threes,Tyrese Maxey,PHI,DAL,bovada,Over,-180,1.5,1630178
9ce22ce34e34669f699bbddee679ad09,player_threes,Tyrese Maxey,PHI,DAL,bovada,Under,135,1.5,1630178
c27042d3b5dc71e808478068fe7cd76a,player_threes,Aaron Nesmith,IND,SAS,draftkings,Over,120,1.5,1630174
c27042d3b5dc71e808478068fe7cd76a,player_threes,Aaron Nesmith,IND,SAS,draftkings,Under,-150,1.5,1630174
