id,home_team,away_team,site,over_under,odds
f1f40917311c49ea9e743bf17b403e5b,Portland Trail Blazers,Los Angeles Lakers,draftkings,238.5,238.5
f1f40917311c49ea9e743bf17b403e5b,Portland Trail Blazers,Los Angeles Lakers,betrivers,238.5,238.5
f1f40917311c49ea9e743bf17b403e5b,Portland Trail Blazers,Los Angeles Lakers,barstool,238.5,238.5
f1f40917311c49ea9e743bf17b403e5b,Portland Trail Blazers,Los Angeles Lakers,sugarhouse,238.5,238.5
f1f40917311c49ea9e743bf17b403e5b,Portland Trail Blazers,Los Angeles Lakers,twinspires,238.5,238.5
f1f40917311c49ea9e743bf17b403e5b,Portland Trail Blazers,Los Angeles Lakers,unibet_us,238.5,238.5
f1f40917311c49ea9e743bf17b403e5b,Portland Trail Blazers,Los Angeles Lakers,williamhill_us,238.5,238.5
f1f40917311c49ea9e743bf17b403e5b,Portland Trail Blazers,Los Angeles Lakers,pointsbetus,238.0,238.0
f1f40917311c49ea9e743bf17b403e5b,Portland Trail Blazers,Los Angeles Lakers,betmgm,238.5,238.5
f1f40917311c49ea9e743bf17b403e5b,Portland Trail Blazers,Los Angeles Lakers,bovada,238.5,238.5
f1f40917311c49ea9e743bf17b403e5b,Portland Trail Blazers,Los Angeles Lakers,foxbet,238.0,238.0
f1f40917311c49ea9e743bf17b403e5b,Portland Trail Blazers,Los Angeles Lakers,betus,238.5,238.5
f1f40917311c49ea9e743bf17b403e5b,Portland Trail Blazers,Los Angeles Lakers,mybookieag,238,238
f1f40917311c49ea9e743bf17b403e5b,Portland Trail Blazers,Los Angeles Lakers,wynnbet,238.5,238.5
f1f40917311c49ea9e743bf17b403e5b,Portland Trail Blazers,Los Angeles Lakers,circasports,239.0,239.0
f1f40917311c49ea9e743bf17b403e5b,Portland Trail Blazers,Los Angeles Lakers,betonlineag,238.5,238.5
f1f40917311c49ea9e743bf17b403e5b,Portland Trail Blazers,Los Angeles Lakers,lowvig,238.5,238.5
f1f40917311c49ea9e743bf17b403e5b,Portland Trail Blazers,Los Angeles Lakers,superbook,238.5,238.5
279cef4732d44dd312ab1035a269e359,Phoenix Suns,Sacramento Kings,lowvig,234.0,234.0
279cef4732d44dd312ab1035a269e359,Phoenix Suns,Sacramento Kings,betonlineag,234.0,234.0
279cef4732d44dd312ab1035a269e359,Phoenix Suns,Sacramento Kings,williamhill_us,234.0,234.0
279cef4732d44dd312ab1035a269e359,Phoenix Suns,Sacramento Kings,betus,234.0,234.0
279cef4732d44dd312ab1035a269e359,Phoenix Suns,Sacramento Kings,superbook,234.0,234.0
